func_grp,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
alkane,3004,3020,2988,3028,3008,3016,3036,700,584,2980
alkene,744,568,728,608,604,612,656,1464,2884,2900
alkyne,1340,1412,1344,1480,1464,1368,1352,1332,1356,1372
aromatics,3696,1640,580,1692,592,1684,2980,1704,1672,1696
alkyl halides,1216,1464,1444,1232,1284,1088,1264,1184,1200,3028
alcohols,3636,3640,1792,1812,3632,1768,1764,3712,1824,3512
esters,1844,1264,1432,1524,1604,1488,1464,2044,2092,2104
ketones,1732,944,1456,3176,1184,1692,1648,1156,1244,1472
aldehydes,3168,1824,NaN-838,2796,2776,3480,3408,3080,3532,3444
carboxylic acids,1792,3556,920,600,2444,652,660,1796,688,3428
ether,2988,3028,1248,3020,3008,1256,1044,584,1240,920
acyl halides,1792,1788,1804,1848,1800,1772,1836,1844,1784,1900
amines,836,872,592,756,692,848,1684,624,3436,1676
amides,1732,1368,1340,1412,1540,1616,1648,1704,1612,1676
nitriles,2228,2244,2240,2236,2108,1952,1928,1888,1876,2100
nitro,1356,1552,1344,1532,1352,1320,1348,1376,1360,1412
-N=C=O,2292,2204,2224,1204,1304,1500,2228,1992,1964,1956
-N=C=S,1620,2012,2024,1976,2000,1640,1980,1636,1132,3256
ortho,1400,1460,1456,1472,1464,1508,1444,1500,1504,1452
meta,1488,1480,1516,592,1464,1484,1568,1456,976,1436
para,748,792,768,780,776,1500,848,760,744,872
